text,label
West Ham are keen on the Liverpool midfielder if they are interested in a new contract.,1
FA Cup to be named as Emirates FA Cup in a three-year sponsorship deal. FA have agreed a three-year sponsorship deal,1
Danny Garcia is set to face lamont Peterson in Las Vegas on Saturday. the light welterweight champion defeated Amir Khan in,0
Kilmarnock moved eight points clear at the top of Scottish Premiership. Kris Commons scored a hat-trick in the,1
Google employees donated $1.6 million to President Barack Obama's two White House bids. Obama's chief technology officer was investigated in 2011. Google,1
The espresso maker was designed by Italian coffee giant Lavazza. It was designed by Italian coffee giant Lavazza and the Italian Space Agency.,1
Burnell Mitchell is brother of Boney M singer Liz Mitchell. He was arrested in Syria on suspicion of terrorism offences.,1
Juventus and Arsenal reportedly bid for Paolo Dybala. Juventus and Arsenal are said to be biding for Dybala. Dybala scored his,1
Hundreds of passengers stranded on trains in the city near Clapham Junction.,1
"A woman was struck by lightning in a car, and her hairdresser noticed minor burns.",1
Alec Stewart admits he would happily consider a role in ECB.,0
"and Washington are considering spelling out what's allowed when it comes to marijuana. people make hash oil at home to save money,",0
"Yervand Garginian, 60, has gone viral. Yervand filmed a '",0
Cristiano Ronaldo is preparing to play in the Champions League in the Champions League.,1
Holborn fire broke out just 500 metres from the vault on Good Friday. It was just 500 metres from the Hatton Garden vault,1
Federer won first match since losing the Indian Wells final in March. Federer will take on Gael Monfils in quarter,0
"Cheryl Meyer, 45, said the governor won't be appreciated nationwide. He told the governor 'I'm trying to get better",1
forward was sent off in 2014 super league final. the 27-year-old was sent off in 2014 super league final.,0
Ray Hinton was convicted of two brutal murders based on the gun found at the crime scenes. He was convicted of two brutal,1
"Dr Fox, 53, has been accused of assaulting three women. He was also accused of assaulting two women. He was also accused of",1
. Victoria's Secret caused huge consumer backlash with 'The Perfect Body' campaign.,0
David Cameron has been criticised for ramping up aid spending on consultants. David Cameron has been criticised for ramping up aid spending on,1
Les Gones vs Bastia. Alexandre Lacazette et Mohamed Yattara score goals.,0
"was spotted enjoying a ride at Windsor Great Park today. Rode her favourite Fell pony, a mare named Carlton",0
Kim Sears looked serious in a Whistles black mini dress with sunglasses and straw hat,1
"compared to around 13,000 in the previous year. Most pictures and videos found online were on websites in North America.",0
"Kevin Carr has set a new record of completing his journey from Haytor, Dartmoor.",1
John Roberts faces judicial crossroads as high court to hear key same-sex marriage case.,1
"on Tuesday that the Philadelphia police drug squad targeted white 'college-boy, khaki-pants types... easy to intimid",0
"Milos Raonic, last year's Wimbledon semi-finalist, will play at Queen's Club. australian Nick Kyr",0
Her grandson has been attacked by an armed robbers. They were found at her home in Cape Town.,1
Nigel Pearson is urging Leicester players to focus on their own run-ins.,1
on organized crime charges relating to bourbon thefts. Employees at two Kentucky distilleries among those indicted,0
Floyd Mayweather to be fighting Manny Pacquaio at the MGM Grand.,1
James Anderson took Denesh Ramdin's wicket to break record. England declared on 333-7 in their second innings on day four,1
the Super Slide. Five staff members suffered injuries after breaking into the ride. the ride reopened once rain stopped.,0
Ilkay Gundogan is seen as a successor to Michael Carrick in midfield. van Gaal believes Gundogan can replicate,0
They will run biometric tests to maximise the pleasurability. they will run biometric tests to maximise the pleasurability,1
Pedro has been linked with the move to Barcelona. He says he is relaxed about his future.,1
Peter Moores will defend captain Alastair Cook. batsman cook is in danger of becoming the next victim.,0
Wendell Steiner said he was aware it is illegal to carry dogs on the roof.,1
and scored five goals in five games. Glenn Murray was man of the match and scored fifth goal in five games. midfield,0
It's almost 22 years since Stephen Lawrence was murdered in racial attack.,0
"Ian Harris, 51, is challenging DVLA over rights to wear colander. claims it is the equivalent of a Muslim woman",0
Nicky Law scored two goals as Rangers comfortably beat Raith Rovers. Haris Vuckic and Nicky Clark also scored on score,1
"Sarah Fox, 27, was found dead at her home in Bootle on Thursday night. Bernadette, 57, later found at",1
Spahic was sacked by Bayer Leverkusen last week.,1
Javier Hernandez scores twice to keep Real Madrid in touching distance of Barcelona leaders Barcelona. Real Madrid scored twice in the first half.,1
Calfornia Governor Jerry Brown ordered a 25% overall cutback in water usage by cities and towns in the state on Wednesday.,1
Josh Mantellato scored a hat-trick in the first quarter.,1
Eight judges rule Russia did not breach the 45-year-old's human rights.,1
Italian navy says shots were fired accidentally. Italian navy says one fisherman injured.,1
Aides ordered the Jack Russell and poodle cross-breed to be kept away from Cheltenham.,1
New order allows treasury to freeze or block assets. It is hoped the power will take away the financial incentive behind attacks.,1
Boris Johnson to move centre stage in Tory election campaign. London Mayor to make a high profile joint appearance with David Cameron.,1
Billy-Anne Huxham was abducted from her Caboolture home. the 18-year-old was allegedly,0
Al-Shabaab attacked a Kenyan college in Nairobi. It is a clear indicator the security situation in East Africa is,1
Walsh jumps a car at 40mph in Paddy Power advert. Two-time National winner will ride Ballycasey at Ain,1
