text,label
"Women's Super League transfer window closed on Friday, 3 June. It will close on Thursday, 30 June.",1
Welches Fan Fan Fan F1 fan Fan Fan Fan Fan Fan Fan Fan Fan Fan Fan Fan Fan Fan Fan Fan Fan Fan Fan Fan Fan Fan,0
Kirsty Williams has asked voters to trust the party's pledges to fund student grants despite their promises to raise tuition fees in,1
Louis van Gaal was thrown out of the club's squad after being ruled out for six months.,1
Australian Police have said they are investigating the deaths of two people who died in a contract killing at the Sydney airport on Friday.,1
Swansea City manager Paul Clement has said the club must reflect on the bigger picture.,1
Eddie Jones will name his elite player Squad squad ahead of the autumn Tests at 10:00 BST on Friday.,0
"Hundreds of students have been evacuated from Aberystwyth's University Halls, the university's governing body",1
Lewis Hamilton's hopes of a world championship will be over as the team prepares for next season's World Series.,1
material is listed in the suite of renewable energy technologies listed in the renewable energy technologies.,0
"A gardener said the plant was ""flabbergasted"" and the fruit had been ""successful"".",1
Al Merreikh official Hatim Mohamed Ahmed is being investigated by the Confederation of African Football following he appeared to hit the refere,1
"Dabei ist es am besten, die Interessen der Landwirte zu wahren, wenn sie in der Union bleiben bleiben.",0
"YouTube has been accused of promoting a music streaming site, according to the website's website.",1
"Sale Sharks have agreed a three-year deal with the Scottish side, and Strauss will join the club in the summer.",1
rescued from a suspected arson attack on a house in Bournemouth.,0
A new bridge is being built in the Highlands to lift the lower section of a bridge.,1
"service personnel has received nearly 90% of requests for help, says a armed forces charity.",0
will reject call-ups to the Guinea squad against Zimbabwe in the 2017 Africa Cup of Nations qualifier. Ibrahima Traore,0
Ein 21-jähriger hat sich in County Clare in Counties Clare gemeldet und ist wegen der fatalen,0
Asian stock markets recorded further gains after shares on Wall Street hit fresh record highs and China economic data beat expectations.,1
Hall is to perform a tribute to Bowie at this week's Mercury Music Prize ceremony.,1
Vettel's team threw out an intense battle with Webber in the Malaysian Grand Prix,1
"Queen is a ""very good mimic"" with a knack for imitating regional accents, says her cousin.",0
Mexiko traffte rivals Brazil 2-1 at Wembley to win men's Olympic football gold medal for,0
. A £250million scheme in familia encouraging councils to keep or bring back weekly bin collections is opening for bids,0
Gibraltar in talks with Scotland about plans to keep parts of the UK in the EU.,0
"Swindon is known by some as ""Honda Town"" and Detroit as ""Motor City"".",0
"U.S. Secretary of State John Kerry says he was ""shocked"" by the incident, the lawyer says.",1
"A Labour MP has expressed ""grosse concern"" about the strategy in schools in the UK, following reports one of three east London",0
"Ein führen venezolanischer military commander erklärt, die Sicherheits forces haben wieder die Kontrolle über die Straßen in San Cristobal, der west",0
The Great White Shark is the fastest shark in the ocean - and one of the fastest ever in the ocean - and the fastest ever in,1
"In Belfast gibt es Schwierigkeiten, nachdem es in Nord Belfast zu Schwierigkeiten gekommen ist, nachdem es",0
"Doga Makiura, 18-year-old Doga Makiura, made his first trip to Rwanda, a country which many",0
"Eastleigh have agreed a new deal with Portsmouth on a three-year contract. Tubbs, who joined Portsmouth on loan in August",1
"for offences such as assault, housebreaking and drink-driving were issued taxi licences last year.",0
"Hereford United have been expelled from the Football Conference by an expulsion charge, the club announced.",1
Karachi airport officials say they have spoken with the media for the first time since the hijacking of Pan Am Flight 73 at the airport on,1
Donald Trump made a string of promises during his long campaign to be the 45th president of the United States,1
Basaksehir have announced a three-year deal with the Turkish club for Cameroon's defender Aurelien,1
"Fifa has expanded its investigations, says a US attorney general who is a US attorney.",1
Great Britain's Aled Davies and Georgie Hermitage were among the winners at the IPC Athletics European Championships.,1
"""Action is needed"" at homes for the elderly run by Cornwall Care, after the company took its ""eye off the ball"", said the",0
